,taskID,prompt,entry_point,response
11,HumanEval/10,"

def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
",make_palindrome,"make_palindrome('')
make_palindrome('a')
make_palindrome('aba')
make_palindrome('abc')
make_palindrome('abcba')
make_palindrome('abcd')
make_palindrome('abcdcba')
make_palindrome('abcbad')
make_palindrome('abcbabcba')
make_palindrome('abcbaabcdcba')"
12,HumanEval/11,"from typing import List


def string_xor(a: str, b: str) -> str:
    """""" Input are two strings a and b consisting only of 1s and 0s.
    Perform binary XOR on these inputs and return result also as a string.
    >>> string_xor('010', '110')
    '100'
    """"""
",string_xor,"string_xor('0', '0')
string_xor('0', '1')
string_xor('1', '0')
string_xor('1', '1')
string_xor('111', '111')
string_xor('0', '111')
string_xor('111', '0')
string_xor('111', '111')
string_xor('000', '000')
string_xor('101010', '101010')"
13,HumanEval/12,"from typing import List, Optional


def longest(strings: List[str]) -> Optional[str]:
    """""" Out of list of strings, return the longest one. Return the first one in case of multiple
    strings of the same length. Return None in case the input list is empty.
    >>> longest([])

    >>> longest(['a', 'b', 'c'])
    'a'
    >>> longest(['a', 'bb', 'ccc'])
    'ccc'
    """"""
",longest,"longest([""""])
longest(["""", ""a""])
longest([""a"", ""b"", ""c""])
longest([""a"", ""bb"", ""ccc""])
longest([""a"", ""bb"", ""cc"", ""c""])
longest([""a"", ""bb"", ""ccc"", ""dddd""])
longest([""a"", ""bb"", ""ccc"", ""dddd"", ""ee""])
longest([""a"", ""bb"", ""ccc"", ""dddd"", ""eeee"", ""ee""])
longest([""a"", ""bb"", ""ccc"", ""dddd"", ""eeee"", ""ee"", ""ee""])
longest([])"
14,HumanEval/13,"

def greatest_common_divisor(a: int, b: int) -> int:
    """""" Return a greatest common divisor of two integers a and b
    >>> greatest_common_divisor(3, 5)
    1
    >>> greatest_common_divisor(25, 15)
    5
    """"""
",greatest_common_divisor,"greatest_common_divisor(3, 5)
greatest_common_divisor(25, 15)
greatest_common_divisor(12, 15)
greatest_common_divisor(48, 18)
greatest_common_divisor(7, 21)
greatest_common_divisor(20, 4)
greatest_common_divisor(36, 12)
greatest_common_divisor(15, 15)
greatest_common_divisor(24, 12)
greatest_common_divisor(0, 0)"
15,HumanEval/14,"from typing import List


def all_prefixes(string: str) -> List[str]:
    """""" Return list of all prefixes from shortest to longest of the input string
    >>> all_prefixes('abc')
    ['a', 'ab', 'abc']
    """"""
",all_prefixes,"all_prefixes("""")
all_prefixes(""a"")
all_prefixes(""ab"")
all_prefixes(""abc"")
all_prefixes(""abcd"")
all_prefixes(""abcde"")
all_prefixes(""abcdef"")
all_prefixes(""abcdefg"")
all_prefixes(""abcdefgh"")
all_prefixes(""abcdefghi"")"
16,HumanEval/15,"

def string_sequence(n: int) -> str:
    """""" Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    >>> string_sequence(0)
    '0'
    >>> string_sequence(5)
    '0 1 2 3 4 5'
    """"""
",string_sequence,"string_sequence(0)
string_sequence(1)
string_sequence(5)
string_sequence(-1)
string_sequence(10)
string_sequence(0.5)
string_sequence(-5)
string_sequence(100)
string_sequence(0.5)
string_sequence(-10)"
17,HumanEval/16,"

def count_distinct_characters(string: str) -> int:
    """""" Given a string, find out how many distinct characters (regardless of case) does it consist of
    >>> count_distinct_characters('xyzXYZ')
    3
    >>> count_distinct_characters('Jerry')
    4
    """"""
",count_distinct_characters,"count_distinct_characters('xyzXYZ')
count_distinct_characters('Jerry')
count_distinct_characters('')
count_distinct_characters('a')
count_distinct_characters('ab')
count_distinct_characters('abc')
count_distinct_characters('abcde')
count_distinct_characters('Hello, World!')
count_distinct_characters('abcdefg')
count_distinct_characters('abcdefghijklmnopqrstuvwxyz')"
18,HumanEval/17,"from typing import List


def parse_music(music_string: str) -> List[int]:
    """""" Input to this function is a string representing musical notes in a special ASCII format.
    Your task is to parse this string and return list of integers corresponding to how many beats does each
    not last.

    Here is a legend:
    'o' - whole note, lasts four beats
    'o|' - half note, lasts two beats
    '.|' - quater note, lasts one beat

    >>> parse_music('o o| .| o| o| .| .| .| .| o o')
    [4, 2, 1, 2, 2, 1, 1, 1, 1, 4, 4]
    """"""
",parse_music,"parse_music('o o|.| o| o|.|.|.|.| o o')
parse_music('o| o| o| o| o| o| o| o| o| o|')
parse_music('.|.|.|.|.|.|.|.|.|.|.|')
parse_music('o o| o| o| o| o| o| o| o| o| o|')
parse_music('o o|.|.|.|.|.|.|.|.|.| o')
parse_music('.| o| o| o| o| o| o| o| o| o|.|')
parse_music('o| o| o| o| o| o| o| o| o| o| o| o')
parse_music('o o|.|.|.|.|.|.|.|.|.|.| o o')
parse_music('.|.|.|.|.|.|.|.|.|.|.|.|.|')
parse_music('o o| o| o| o| o| o| o| o| o| o| o| o| o')"
19,HumanEval/18,"

def how_many_times(string: str, substring: str) -> int:
    """""" Find how many times a given substring can be found in the original string. Count overlaping cases.
    >>> how_many_times('', 'a')
    0
    >>> how_many_times('aaa', 'a')
    3
    >>> how_many_times('aaaa', 'aa')
    3
    """"""
",how_many_times,"how_many_times("""", ""a"")
how_many_times(""a"", ""a"")
how_many_times(""ab"", ""a"")
how_many_times(""aba"", ""a"")
how_many_times(""abc"", ""a"")
how_many_times(""aaa"", ""aa"")
how_many_times(""aaaa"", ""aa"")
how_many_times(""abcde"", ""abc"")
how_many_times(""abcdefg"", ""abc"")
how_many_times(""abcdef"", ""abc"")"
20,HumanEval/19,"from typing import List


def sort_numbers(numbers: str) -> str:
    """""" Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    >>> sort_numbers('three one five')
    'one three five'
    """"""
",sort_numbers,"sort_numbers(""one"")
sort_numbers(""one two"")
sort_numbers(""two three"")
sort_numbers(""three four five"")
sort_numbers(""one two three four five six"")
sort_numbers(""nine eight seven six five four three two one"")
sort_numbers(""five four three two one"")
sort_numbers(""nine zero"")
sort_numbers(""zero one two three four five six seven eight nine"")
sort_numbers(""nine eight seven six five four three two one zero"")"
21,HumanEval/20,"from typing import List, Tuple


def find_closest_elements(numbers: List[float]) -> Tuple[float, float]:
    """""" From a supplied list of numbers (of length at least two) select and return two that are the closest to each
    other and return them in order (smaller number, larger number).
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
    (2.0, 2.2)
    >>> find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.0])
    (2.0, 2.0)
    """"""
",find_closest_elements,"find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 2.2])
find_closest_elements([1.0, 2.0, 2.0, 3.0, 4.0, 5.0])
find_closest_elements([1.0, 2.0, 2.0, 2.0, 2.0, 2.0])
find_closest_elements([1.0, 1.0, 1.0, 1.0, 1.0, 1.0])
find_closest_elements([1.0, 2.0, 3.0, 4.0, 5.0, 6.0])
find_closest_elements([-1.0, -0.5, 0.0, 0.5, 1.0, 1.5])
find_closest_elements([1.0, 1.5, 1.8, 2.2, 3.0, 3.5])
find_closest_elements([1.0, 1.0, 2.0, 2.0, 3.0, 3.0])
find_closest_elements([1.0, 2.0, 2.0, 2.0, 3.0, 4.0])
find_closest_elements([1.0, 1.0, 1.0, 1.0, 1.0, 1.0])"
22,HumanEval/21,"from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" Given list of numbers (of at least two elements), apply a linear transform to that list,
    such that the smallest number will become 0 and the largest will become 1
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""
",rescale_to_unit,"rescale_to_unit([0.0, 1.0, 2.0, 3.0, 4.0, 5.0])
rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0, 6.0])
rescale_to_unit([-1.0, -0.5, 0.0, 0.5, 1.0, 1.5])
rescale_to_unit([0.5, 1.0, 1.5, 2.0, 2.5, 3.0])
rescale_to_unit([1.0, 1.0, 1.0, 1.0, 1.0, 1.0])
rescale_to_unit([0.0, 0.0, 0.0, 0.0, 0.0, 0.0])
rescale_to_unit([10.0, 20.0, 30.0, 40.0, 50.0])
rescale_to_unit([-10.0, -20.0, -30.0, -40.0, -50.0])
rescale_to_unit([0.0, 1.0, 2.0, 3.0, 4.0, 5.0])
rescale_to_unit([5.0, 5.0, 5.0, 5.0, 5.0, 5.0])"
23,HumanEval/22,"from typing import List, Any


def filter_integers(values: List[Any]) -> List[int]:
    """""" Filter given list of any python values only for integers
    >>> filter_integers(['a', 3.14, 5])
    [5]
    >>> filter_integers([1, 2, 3, 'abc', {}, []])
    [1, 2, 3]
    """"""
",filter_integers,"filter_integers([1, 2, 3, 'abc', {}, []])
filter_integers(['a', 3.14, 5, 10, 'hello'])
filter_integers([1, 2, 'hello', 3.14, 5])
filter_integers(['a', 'b', 'c', 1, 2, 3])
filter_integers([1.1, 2.2, 3.3, 4.4, 5.5])
filter_integers([1, 'a', 2.2, 3, 4, 5.5])
filter_integers(['a', 'b', 1, 2, 3.3, 4.4])
filter_integers([1, 2, 3, 4, 5])
filter_integers(['a', 'b', 'c', 'd', 'e'])"
24,HumanEval/23,"

def strlen(string: str) -> int:
    """""" Return length of given string
    >>> strlen('')
    0
    >>> strlen('abc')
    3
    """"""
",strlen,"strlen('')
strlen('a')
strlen('abc')
strlen('abcde')
strlen('a' * 1000)
strlen('a' * 10000)
strlen('a' * 100000)
strlen('a' * 1000000)
strlen('abc' * 1000)
strlen('abc' * 10000)"
25,HumanEval/24,"

def largest_divisor(n: int) -> int:
    """""" For a given number n, find the largest number that divides n evenly, smaller than n
    >>> largest_divisor(15)
    5
    """"""
",largest_divisor,"largest_divisor(1)
largest_divisor(2)
largest_divisor(3)
largest_divisor(4)
largest_divisor(5)
largest_divisor(6)
largest_divisor(7)
largest_divisor(8)
largest_divisor(9)
largest_divisor(10)"
26,HumanEval/25,"from typing import List


def factorize(n: int) -> List[int]:
    """""" Return list of prime factors of given integer in the order from smallest to largest.
    Each of the factors should be listed number of times corresponding to how many times it appeares in factorization.
    Input number should be equal to the product of all factors
    >>> factorize(8)
    [2, 2, 2]
    >>> factorize(25)
    [5, 5]
    >>> factorize(70)
    [2, 5, 7]
    """"""
",factorize,"factorize(1)
factorize(2)
factorize(3)
factorize(4)
factorize(5)
factorize(6)
factorize(7)
factorize(8)
factorize(9)
factorize(10)"
27,HumanEval/26,"from typing import List


def remove_duplicates(numbers: List[int]) -> List[int]:
    """""" From a list of integers, remove all elements that occur more than once.
    Keep order of elements left the same as in the input.
    >>> remove_duplicates([1, 2, 3, 2, 4])
    [1, 3, 4]
    """"""
",remove_duplicates,"remove_duplicates([1, 2, 3, 2, 4])
remove_duplicates([1, 1, 1, 2, 2, 3])
remove_duplicates([5, 6, 7, 8, 9, 10])
remove_duplicates([1, 2, 3, 4, 5, 5])
remove_duplicates([1, 2, 3, 4, 5])
remove_duplicates([1, 2, 2, 3, 4, 5])
remove_duplicates([1, 1, 2, 2, 3, 4])
remove_duplicates([1, 2, 3, 4, 5, 6])
remove_duplicates([1, 1, 1, 1, 2, 2])
remove_duplicates([])"
28,HumanEval/27,"

def flip_case(string: str) -> str:
    """""" For a given string, flip lowercase characters to uppercase and uppercase to lowercase.
    >>> flip_case('Hello')
    'hELLO'
    """"""
",flip_case,"flip_case('Hello')
flip_case('hello')
flip_case('HELLO')
flip_case('hELLO')
flip_case('12345')
flip_case('AaBbCc')
flip_case('AAaBbCc')
flip_case('')
flip_case('AaBbCc')
flip_case('AAaBbCc')"
29,HumanEval/28,"from typing import List


def concatenate(strings: List[str]) -> str:
    """""" Concatenate list of strings into a single string
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
",concatenate,"concatenate([]) 
concatenate(['a']) 
concatenate(['a', 'b']) 
concatenate(['a', 'b', 'c', 'd']) 
concatenate(['a', 'b', 'c', 'd', 'e']) 
concatenate(['a', 'b', 'c', 'd', 'e', 'f']) 
concatenate(['a', 'b', 'c', 'd', 'e', 'f', 'g']) 
concatenate(['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h']) 
concatenate(['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i'])"
30,HumanEval/29,"from typing import List


def filter_by_prefix(strings: List[str], prefix: str) -> List[str]:
    """""" Filter an input list of strings only for ones that start with a given prefix.
    >>> filter_by_prefix([], 'a')
    []
    >>> filter_by_prefix(['abc', 'bcd', 'cde', 'array'], 'a')
    ['abc', 'array']
    """"""
",filter_by_prefix,"filter_by_prefix(["""", ""abc"", ""bcd"", ""cde"", ""array""], """")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], ""a"")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], """")
filter_by_prefix([], ""a"")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], ""bc"")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], ""xyz"")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], ""array"")
filter_by_prefix(["""", ""abc"", ""bcd"", ""cde"", ""array""], ""c"")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], ""xyz"")
filter_by_prefix([""abc"", ""bcd"", ""cde"", ""array"", ""xyz""], ""abc"")
"
31,HumanEval/30,"

def get_positive(l: list):
    """"""Return only positive numbers in the list.
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""
",get_positive,"get_positive([-1, 2, -4, 5, 6])
get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
get_positive([-5, -3, -1, 0, 2, 4, 6])
get_positive([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])
get_positive([-1, -2, -3, -4, -5, -6, -7, -8, -9, -10])
get_positive([0])
get_positive([-1, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9])
get_positive([-1, -2, -3, -4, -5, -6, -7, -8, -9, -10, 1])
get_positive([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0])
get_positive([-1, -2, -3, -4, -5, -6, -7, -8, -9, -10, 0])"
32,HumanEval/31,"

def is_prime(n):
    """"""Return true if a given number is prime, and false otherwise.
    >>> is_prime(6)
    False
    >>> is_prime(101)
    True
    >>> is_prime(11)
    True
    >>> is_prime(13441)
    True
    >>> is_prime(61)
    True
    >>> is_prime(4)
    False
    >>> is_prime(1)
    False
    """"""
",is_prime,"is_prime(1)
is_prime(4)
is_prime(6)
is_prime(7)
is_prime(10)
is_prime(11)
is_prime(13)
is_prime(61)
is_prime(13441)
is_prime(101)"
33,HumanEval/32,"import math


def poly(xs: list, x: float):
    """"""
    Evaluates polynomial with coefficients xs at point x.
    return xs[0] + xs[1] * x + xs[1] * x^2 + .... xs[n] * x^n
    """"""
    return sum([coeff * math.pow(x, i) for i, coeff in enumerate(xs)])


def find_zero(xs: list):
    """""" xs are coefficients of a polynomial.
    find_zero find x such that poly(x) = 0.
    find_zero returns only only zero point, even if there are many.
    Moreover, find_zero only takes list xs having even number of coefficients
    and largest non zero coefficient as it guarantees
    a solution.
    >>> round(find_zero([1, 2]), 2) # f(x) = 1 + 2x
    -0.5
    >>> round(find_zero([-6, 11, -6, 1]), 2) # (x - 1) * (x - 2) * (x - 3) = -6 + 11x - 6x^2 + x^3
    1.0
    """"""
",find_zero,"find_zero([1, 2])
find_zero([-6, 11, -6, 1])
find_zero([0, 1])
find_zero([0, 0, 1])
find_zero([1, 0, 0, 0])
find_zero([1, 2, 3, 4, 5])
find_zero([-1, 1, -2, 3, 4, 5])
find_zero([1, -1, 1, -1, 1, -1, 1, 1])
find_zero([1, 1, 1, 1, 1, 1, 1, 1, 1])
find_zero([2, -3, 2, -1])"
34,HumanEval/33,"

def sort_third(l: list):
    """"""This function takes a list l and returns a list l' such that
    l' is identical to l in the indicies that are not divisible by three, while its values at the indicies that are divisible by three are equal
    to the values of the corresponding indicies of l, but sorted.
    >>> sort_third([1, 2, 3])
    [1, 2, 3]
    >>> sort_third([5, 6, 3, 4, 8, 9, 2])
    [2, 6, 3, 4, 8, 9, 5]
    """"""
",sort_third,"sort_third([1, 2, 3])
sort_third([5, 6, 3, 4, 8, 9, 2])
sort_third([1, 2, 4])
sort_third([5, 1, 2, 3, 4, 6, 7, 8])
sort_third([1, 2, 3, 4, 5, 6, 7, 8])
sort_third([10, 2, 3, 4, 5, 6, 7, 8])
sort_third([1, 2, 3, 4, 5, 6, 7, 8, 9])
sort_third([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])
sort_third([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11])
sort_third([1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12])"
35,HumanEval/34,"

def unique(l: list):
    """"""Return sorted unique elements in a list
    >>> unique([5, 3, 5, 2, 3, 3, 9, 0, 123])
    [0, 2, 3, 5, 9, 123]
    """"""
",unique,"unique([5, 3, 5, 2, 3, 3, 9, 0, 123]) 
unique([1, 1, 2, 3, 4, 5]) 
unique([1]) 
unique([1, 1, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5]) 
unique([]) 
unique([5, 5, 5, 5, 5, 5]) 
unique([1, 2, 3, 4, 5, 6, 7, 8, 9]) 
unique([1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5, 6, 6, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9]) 
unique([1, 2, 3, 4, 5, 6, 7, 8, 9, 0]) 
unique([5, 5, 5, 5, 5, 5, 5, 5, 5, 5])"
36,HumanEval/35,"

def max_element(l: list):
    """"""Return maximum element in the list.
    >>> max_element([1, 2, 3])
    3
    >>> max_element([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    123
    """"""
",max_element,"max_element([1, 2, 3])
max_element([-1, 0, 1])
max_element([10, 5, 10, 20, 15])
max_element([-10, -5, -10, -20, -15])
max_element([1, 1, 1, 1, 1])
max_element([10, 10, 10, 10, 10])
max_element([-1, -1, -1, -1, -1])
max_element([5, 5, 5, 5, 5, 5])
max_element([5, 5, 5, 5, 5, 5])
max_element([-10, -5, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20])"
37,HumanEval/36,"

def fizz_buzz(n: int):
    """"""Return the number of times the digit 7 appears in integers less than n which are divisible by 11 or 13.
    >>> fizz_buzz(50)
    0
    >>> fizz_buzz(78)
    2
    >>> fizz_buzz(79)
    3
    """"""
",fizz_buzz,"fizz_buzz(10)
fizz_buzz(20)
fizz_buzz(50)
fizz_buzz(78)
fizz_buzz(79)
fizz_buzz(100)
fizz_buzz(110)
fizz_buzz(120)
fizz_buzz(130)
fizz_buzz(200)"
